"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Testa login com credenciais válidas","5428","Teste de Login Válido","","Fri Apr 11 03:46:50 UTC 2025","failed","Fri Apr 11 03:46:56 UTC 2025","Login Test","Tests","",""
"Testa login com credenciais inválidas","5252","Teste de Login Inválido","","Fri Apr 11 03:46:56 UTC 2025","failed","Fri Apr 11 03:47:01 UTC 2025","Login Test","Tests","",""
"Testa a funcionalidade de pesquisa por produto no site","2577","Pesquisar Produto e Validar Resultados","","Fri Apr 11 03:46:50 UTC 2025","passed","Fri Apr 11 03:46:52 UTC 2025","Search Product Test","Tests","",""
